rho,seq_length,rep,seed,num_trees,wall_s,pi_i_over_pi_s,dxy_over_pi_i,pi_i,pi_s,dxy,fst
500,7344,28,101028,778,0.68,0.6672851973733281,1.9495731844107853,0.005570990899724894,0.008348740421118729,0.010861054468700167,0.35919061261693896
500,7344,29,101029,801,0.78,0.7017010105328138,1.8439251949264277,0.005882134973215168,0.008382679923388967,0.010846216877069336,0.3424059716728387
500,7344,30,101030,819,0.72,0.7176907581388546,1.861682237650585,0.00601051699412991,0.008374800603140872,0.01118967272706864,0.35720561502787995
500,7344,31,101031,783,0.67,0.6486940541133717,2.066112995338796,0.005512525873378307,0.008497882535570286,0.011389501344128267,0.3849419748226508
500,7344,32,101032,791,0.61,0.610370555607714,2.1745004611989422,0.005356573409016341,0.008775936781031451,0.011647871348352023,0.39334365192626797
500,7344,33,101033,779,0.62,0.7284705605326699,1.8559950459139782,0.006184850551321693,0.00849018599571028,0.0114790519829714,0.3607905701271473
500,7344,34,101034,842,0.79,0.6535283859510118,2.034042530497983,0.005679012647737824,0.008689771966788785,0.011551353256734693,0.3780475631221263
500,7344,35,101035,791,0.7,0.6614842587864889,1.9301267989097877,0.005489044786882403,0.008298073180081727,0.010594552443577791,0.34932985416851614
500,7344,36,101036,769,0.63,0.6769116022862454,1.8922100147232785,0.006137899612663481,0.009067505405333487,0.011614195116447972,0.345395661707838
500,7344,37,101037,812,0.8,0.7054007920474213,1.9012604239538946,0.006189296837202601,0.008774156347681729,0.011767465128676316,0.3642023570386599
500,7344,38,101038,765,0.59,0.6594236033852279,2.0432984089185737,0.005488184997056092,0.00832270026259578,0.0112139996723355,0.3842123388980121
500,7344,39,101039,790,0.8,0.6520710047122229,2.0032222139669362,0.0056590176711132254,0.008678529838342847,0.011336269908005452,0.36762499367930634
500,7344,40,101040,765,0.61,0.6849013256680232,1.923770999783735,0.005756679444232695,0.008405122356301293,0.011074532969866007,0.3606140394783016
500,7344,41,101041,793,0.77,0.7044382922458894,1.9110781998078659,0.006274672984813915,0.008907342280910098,0.011991390752201224,0.36696186541427256
500,7344,42,101042,758,0.67,0.6617941935515373,1.984417216725147,0.005265911049743491,0.007957022139290509,0.010449764548854176,0.3673095155773676
500,7344,43,101043,806,0.75,0.7189747578120517,1.8269371445319886,0.0060744227239801435,0.008448728773824446,0.011097588506028508,0.345661830499697
500,7344,44,101044,743,0.8,0.6607277664232761,1.963174059584605,0.0060069043681780215,0.009091345442761176,0.011792598834012543,0.35984213389026665
500,7344,45,101045,787,0.78,0.6215071412794448,2.0538387540955836,0.005791382176309511,0.00931828742045872,0.011894565153482894,0.36484985361806566
500,7344,46,101046,836,0.61,0.6807551029985349,1.995025415498641,0.0059344067869483135,0.008717388618622056,0.011839292365869515,0.38122165781593587
500,7344,47,101047,791,0.85,0.6747294569197394,1.8970013049107524,0.005602285023281812,0.008303009400030117,0.010627541999647562,0.3457897214721397
500,7344,48,101048,780,0.6,0.6659318940798172,1.9284542749647617,0.00541137604149532,0.008126020227598115,0.01043559126066354,0.3513833605134574
500,7344,49,101049,752,0.52,0.648727808788834,2.0316723592959467,0.005793288092277198,0.008930229310029406,0.011770063286517928,0.37453533409749284
500,7344,50,101050,783,0.57,0.6707961225693931,1.971972561557053,0.006205564296759027,0.009251043779128387,0.01223720252218689,0.3684582710850981
500,7344,51,101051,819,1.1,0.6718975214062218,1.9928472247178595,0.005522507618701973,0.008219270711318975,0.01100551398141346,0.37568666246626026
500,7344,52,101052,807,0.75,0.661381467821507,1.9280018862571247,0.006103460152591927,0.009228350731833816,0.011767482686892433,0.3485517976795689
500,7344,53,101053,761,0.72,0.6600253849460349,2.0084956467382646,0.005626695095348843,0.008524967711369,0.011301192604531695,0.37388630997036854
500,7344,54,101054,779,0.61,0.706770547055698,1.8611050081489253,0.005774213975901193,0.008169856539658758,0.010746418548673227,0.3512224350650519
500,7344,55,101055,773,0.58,0.7130508240561216,1.8797929416516912,0.0060991024418044475,0.008553531159406401,0.011465049720514596,0.3609869142131735
500,7344,56,101056,764,0.63,0.7023985854351794,1.940530213137676,0.0060541291689717456,0.008619221756007435,0.011748220566627762,0.37550751444603425
500,7344,57,101057,737,0.69,0.723547683188066,1.8557364740764288,0.0060863830396823745,0.00841186169357188,0.011294723001938747,0.3581850245125259
500,7344,58,101058,793,0.83,0.6975457364140113,1.834035755754349,0.0056944720791184305,0.008163582374387298,0.01044386540324801,0.3365457175847979
500,7344,59,101059,778,0.76,0.7202784744661451,1.8961537405992674,0.0059556854110289275,0.008268587250845102,0.011292895169954987,0.37021142728225964
500,7344,60,101060,831,0.74,0.7034081329231955,1.9105664538114466,0.006150106020701263,0.008743296718994275,0.01175018625053564,0.36624822695824877
