chrom	win	n_sites	fst
1	40500000	11131	0.008476042659127632
1	40600000	11443	0.008545696360332778
1	40700000	11170	0.012983043855082607
1	40800000	9770	0.028850185144643534
1	40900000	9911	0.025705647057012983
1	41000000	10175	0.021464793462309652
1	41100000	12004	0.028866172838486127
1	41200000	12465	0.01136602032111666
1	41300000	12627	0.014612043561771997
1	41400000	11048	0.015782049824458716
1	41500000	12025	0.023685907392918124
1	41600000	11925	0.006781416454131796
1	41700000	12602	0.01838979143097348
1	41800000	13549	0.01739171283965597
1	41900000	11403	0.014425248206243503
1	42000000	11350	0.014262642816424866
1	42100000	9913	0.01600625900704501
1	42200000	10105	0.017856935140437725
1	42300000	10364	0.008862172746030707
1	42400000	9925	0.01713339691288943
1	42500000	10001	0.013273089249042908
1	42600000	9886	0.009381493266836691
1	42700000	10205	0.018109494856420032
1	42800000	9393	0.02184703127925931
1	42900000	10167	0.012718042701829047
1	43000000	11574	0.024312900436659332
1	43100000	11379	0.02117518761322721
1	43200000	9804	0.013856573997139889
1	43300000	9771	0.015937665986383243
1	43400000	8829	0.01565249679756003
1	43500000	9974	0.011222440994989324
1	43600000	9621	0.015655892068811576
1	43700000	9924	0.011530442339555818
1	43800000	9642	0.021015419015650443
1	43900000	8450	0.0067887926780702615
1	44000000	7345	0.004754416411979738
1	44100000	7367	0.006429598755559067
1	44200000	7109	0.007946214404364549
1	44300000	7011	0.005327340485778545
1	44400000	8200	0.01522821862824076
1	44500000	6513	0.006171321292370162
1	44600000	6110	0.004357103809242448
1	44700000	5118	0.0063107838437751985
1	44800000	4710	0.02417610622537177
1	44900000	5120	0.014774823682364121
1	45000000	4176	0.019243716372140184
1	45100000	4310	0.0034780390228701017
1	45200000	3532	0.029221153851330357
1	45300000	1972	0.10703935776370097
1	45400000	2686	0.16884305715607664
1	45500000	1492	0.1527022855360371
1	45600000	774	0.18522849215441684
1	45700000	214	0.16749626094913606
1	45800000	722	0.33073580433082606
1	45900000	797	0.21210257243541125
1	46000000	752	0.285506014222786
1	46100000	1468	0.13234303534934264
1	46200000	3405	0.056492475929994915
1	46300000	1480	0.1079270559916229
1	46400000	4375	0.003966616771932705
1	46500000	5654	0.050172612076776715
1	46600000	4530	0.004977550803828215
1	46700000	4383	0.0
1	46800000	5077	0.0777090299773805
1	46900000	5016	0.019676724689936264
1	47000000	5991	0.00805417315225454
1	47100000	6303	0.014109903161667613
1	47200000	6746	0.01734366388339632
1	47300000	7116	0.024557720914935022
1	47400000	7957	0.0042477193839663375
1	47500000	6604	0.02684163607457481
1	47600000	4480	0.1333812188484406
1	47700000	5528	0.09384253129971186
1	47800000	7853	0.013727055802325092
1	47900000	9143	0.00823669070254732
1	48000000	9252	0.010657870935224993
1	48100000	8374	0.00962938582236526
1	48200000	8380	0.016645829949198433
1	48300000	9668	0.023657146487828223
1	48400000	8741	0.011276792404909051
1	48500000	6154	0.005264592792816234
1	48600000	6373	0.006998245386625178
1	48700000	7660	0.0076558050672105235
1	48800000	8663	0.006577346875211663
1	48900000	8242	0.004736667746189672
1	49000000	7892	0.006498353611768356
1	49100000	7653	0.00746402641328146
1	49200000	8713	0.010797852215262967
1	49300000	8892	0.006215997714353668
1	49400000	10517	0.025055578120789047
1	49500000	12253	0.011571324986061251
1	49600000	10850	0.020703724273651088
1	49700000	11665	0.011395914724930603
1	49800000	12861	0.020357705396337918
1	49900000	12725	0.017124216345615364
1	50000000	11863	0.030178905212531297
1	50100000	12269	0.020107503611147357
1	50200000	12187	0.014596297425399928
1	50300000	13605	0.01593287707736409
1	50400000	12460	0.01841393844491076
1	50500000	13814	0.012138071775095996
1	50600000	14124	0.014440164833935228
1	50700000	12403	0.028959719211390494
1	50800000	12394	0.011886106350012065
1	50900000	13818	0.016162288295734642
1	51000000	12292	0.014242521400147841
1	51100000	13245	0.014101785469977104
1	51200000	13992	0.014953523624585572
1	51300000	12449	0.01263681987321485
1	51400000	13013	0.01258356788175289
1	51500000	14307	0.011317905752503306
1	51600000	12963	0.012483130787308987
1	51700000	14304	0.013621072243506347
1	51800000	13730	0.020901728918623484
1	51900000	13181	0.02985414814418662
1	52000000	13042	0.0179539827924408
1	52100000	12825	0.010333230254621645
1	52200000	11978	0.017977836977205664
1	52300000	12792	0.011049907140206029
1	52400000	11244	0.027140336315722702
1	52500000	11201	0.021803394125292006
1	52600000	14567	0.020352712327345167
1	52700000	13373	0.01789062280804882
