go_id	cat	term	k_raw	k_clustered	null_mean_raw	p_window_raw	p_window_clustered	fdr_clustered
GO:0032787	biological_process	monocarboxylic acid metabolic process	3	3	1.8115	0.244	0.1915	0.99
GO:0006839	biological_process	mitochondrial transport	2	2	0.847	0.206	0.2	0.99
GO:0072594	biological_process	establishment of protein localization to organelle	3	3	1.816	0.2715	0.2105	0.99
GO:0030099	biological_process	myeloid cell differentiation	2	2	0.8595	0.2185	0.2125	0.99
GO:0016788	molecular_function	hydrolase activity, acting on ester bonds	4	4	2.5075	0.2515	0.2195	0.99
GO:0043436	biological_process	oxoacid metabolic process	5	5	3.6475	0.308	0.2275	0.99
GO:0006082	biological_process	organic acid metabolic process	5	5	3.6885	0.314	0.2285	0.99
GO:0002253	biological_process	activation of immune response	2	2	0.8635	0.238	0.229	0.99
GO:0043393	biological_process	regulation of protein binding	2	2	0.937	0.254	0.236	0.99
GO:0072527	biological_process	pyrimidine-containing compound metabolic process	2	1	0.3005	0.055	0.242	0.99
GO:0006281	biological_process	DNA repair	4	3	1.9565	0.1565	0.2545	0.99
GO:0016054	biological_process	organic acid catabolic process	2	2	0.9935	0.269	0.255	0.99
GO:0046395	biological_process	carboxylic acid catabolic process	2	2	0.9935	0.269	0.255	0.99
GO:0015849	biological_process	organic acid transport	2	2	1.132	0.2975	0.263	0.99
GO:0046942	biological_process	carboxylic acid transport	2	2	1.132	0.2975	0.263	0.99
GO:0005815	cellular_component	microtubule organizing center	4	4	2.8865	0.34	0.265	0.99
GO:0098798	cellular_component	mitochondrial protein-containing complex	2	2	1.142	0.3005	0.2765	0.99
GO:0005874	cellular_component	microtubule	2	2	1.014	0.283	0.278	0.99
GO:0060271	biological_process	cilium assembly	3	3	1.991	0.317	0.279	0.99
GO:0098656	biological_process	monoatomic anion transmembrane transport	2	2	1.37	0.336	0.2945	0.99
GO:0008610	biological_process	lipid biosynthetic process	3	3	2.1525	0.3505	0.295	0.99
GO:0044441	cellular_component	obsolete ciliary part	3	3	2.1105	0.365	0.3	0.99
GO:0044255	biological_process	obsolete cellular lipid metabolic process	4	4	3.3365	0.3805	0.3125	0.99
GO:0042578	molecular_function	phosphoric ester hydrolase activity	2	2	1.178	0.329	0.3165	0.99
GO:0019637	biological_process	organophosphate metabolic process	5	5	4.058	0.395	0.3175	0.99
GO:0006259	biological_process	DNA metabolic process	5	4	3.28	0.266	0.322	0.99
GO:0001228	molecular_function	DNA-binding transcription activator activity, RNA polymerase II-specific	2	2	1.205	0.343	0.326	0.99
GO:0120031	biological_process	plasma membrane bounded cell projection assembly	3	3	2.274	0.3805	0.326	0.99
GO:0033365	biological_process	protein localization to organelle	4	4	3.303	0.404	0.326	0.99
GO:0030031	biological_process	cell projection assembly	3	3	2.336	0.391	0.3375	0.99
GO:0031647	biological_process	regulation of protein stability	2	2	1.258	0.352	0.3385	0.99
GO:1901135	biological_process	carbohydrate derivative metabolic process	6	5	4.541	0.304	0.3605	0.99
GO:0044281	biological_process	small molecule metabolic process	8	7	6.8895	0.391	0.3605	0.99
GO:0007018	biological_process	microtubule-based movement	2	2	1.4545	0.3885	0.361	0.99
GO:0051098	biological_process	regulation of binding	2	2	1.5145	0.4025	0.391	0.99
GO:0099513	cellular_component	polymeric cytoskeletal fiber	2	2	1.405	0.4	0.397	0.99
GO:0016570	biological_process	obsolete histone modification	2	2	1.47	0.4225	0.4025	0.99
GO:0016569	biological_process	obsolete covalent chromatin modification	2	2	1.485	0.426	0.406	0.99
GO:0009117	biological_process	nucleotide metabolic process	3	3	2.5025	0.4515	0.4075	0.99
GO:0000978	molecular_function	RNA polymerase II cis-regulatory region sequence-specific DNA binding	2	2	1.497	0.4245	0.414	0.99
GO:0006629	biological_process	lipid metabolic process	4	4	3.8705	0.4775	0.414	0.99
GO:0048732	biological_process	gland development	3	3	2.6325	0.4495	0.4145	0.99
GO:0001501	biological_process	skeletal system development	2	2	1.6055	0.426	0.4155	0.99
GO:1901615	biological_process	organic hydroxy compound metabolic process	2	2	1.587	0.427	0.4165	0.99
GO:0006753	biological_process	nucleoside phosphate metabolic process	3	3	2.535	0.454	0.4175	0.99
GO:0000987	molecular_function	cis-regulatory region sequence-specific DNA binding	2	2	1.552	0.431	0.42	0.99
GO:0099568	cellular_component	cytoplasmic region	3	3	2.691	0.4755	0.422	0.99
GO:0015711	biological_process	organic anion transport	2	2	1.66	0.4495	0.4225	0.99
GO:0050778	biological_process	positive regulation of immune response	2	2	1.461	0.429	0.423	0.99
GO:0016887	molecular_function	ATP hydrolysis activity	3	2	1.8215	0.268	0.4425	0.99
GO:1901362	biological_process	obsolete organic cyclic compound biosynthetic process	8	6	6.1515	0.3125	0.444	0.99
GO:0005524	molecular_function	ATP binding	2	2	1.648	0.4595	0.444	0.99
GO:0005911	cellular_component	cell-cell junction	2	2	1.5805	0.451	0.4445	0.99
GO:0005929	cellular_component	cilium	3	3	2.688	0.5035	0.4505	0.99
GO:0006935	biological_process	chemotaxis	4	3	2.601	0.292	0.451	0.99
GO:0044430	cellular_component	obsolete cytoskeletal part	5	5	5.3935	0.577	0.4515	0.99
GO:0019216	biological_process	regulation of lipid metabolic process	2	2	1.5765	0.463	0.452	0.99
GO:0006974	biological_process	DNA damage response	4	3	3.103	0.344	0.461	0.99
GO:0006820	biological_process	monoatomic anion transport	2	2	1.961	0.4925	0.4615	0.99
GO:0019901	molecular_function	protein kinase binding	3	3	2.736	0.4975	0.4685	0.99
GO:0051052	biological_process	regulation of DNA metabolic process	2	2	1.7595	0.4915	0.471	0.99
GO:0006468	biological_process	protein phosphorylation	3	3	2.7245	0.4955	0.4745	0.99
GO:0034655	biological_process	nucleobase-containing compound catabolic process	3	2	1.892	0.3105	0.479	0.99
GO:0006163	biological_process	purine nucleotide metabolic process	2	2	1.8995	0.5135	0.481	0.99
GO:0055086	biological_process	nucleobase-containing small molecule metabolic process	4	3	2.899	0.3525	0.483	0.99
GO:0001505	biological_process	obsolete regulation of neurotransmitter levels	2	2	1.831	0.503	0.484	0.99
GO:0042330	biological_process	taxis	4	3	2.895	0.342	0.491	0.99
GO:0005102	molecular_function	signaling receptor binding	5	4	4.1645	0.3805	0.498	0.99
GO:0072521	biological_process	purine-containing compound metabolic process	2	2	2.0445	0.5315	0.499	0.99
GO:0019904	molecular_function	protein domain specific binding	3	3	3.0235	0.5495	0.505	0.99
GO:0015630	cellular_component	microtubule cytoskeleton	4	4	4.5865	0.589	0.5055	0.99
GO:0003690	molecular_function	double-stranded DNA binding	3	3	3.061	0.5465	0.508	0.99
GO:0044270	biological_process	obsolete cellular nitrogen compound catabolic process	3	2	2.107	0.3455	0.517	0.99
GO:0046700	biological_process	obsolete heterocycle catabolic process	3	2	2.106	0.357	0.5205	0.99
GO:0019900	molecular_function	kinase binding	3	3	3.0295	0.5475	0.521	0.99
GO:0019439	biological_process	obsolete aromatic compound catabolic process	3	2	2.1115	0.3475	0.523	0.99
GO:0006897	biological_process	endocytosis	2	2	2.1355	0.543	0.529	0.99
GO:0006796	biological_process	phosphate-containing compound metabolic process	8	6	7.265	0.4455	0.5305	0.99
GO:1901361	biological_process	obsolete organic cyclic compound catabolic process	3	2	2.1925	0.369	0.5345	0.99
GO:0005759	cellular_component	mitochondrial matrix	2	2	1.96	0.548	0.536	0.99
GO:0006793	biological_process	phosphorus metabolic process	8	6	7.3785	0.4565	0.539	0.99
GO:0006886	biological_process	intracellular protein transport	3	3	3.5125	0.5875	0.543	0.99
