t_inv,p_start,plateau,rep,s_het,s_hom,seed,seq_length,num_trees,wall_s,pi_i_over_pi_s,dxy_over_pi_i,pi_i,pi_s,dxy,fst
650000.0,0.025,0.0,6,4.0206861599121484e-05,2.4021351818005487e-05,901006,37148,3016,4.71,0.7409461561026294,1.714033639547056,0.006102050615304021,0.008235484542359672,0.010459120024849902,0.31459170926430546
650000.0,0.025,0.0,7,4.0206861599121484e-05,2.4021351818005487e-05,901007,37148,3076,16.46,0.7754355698573167,1.6389267121872544,0.006322667486960673,0.008153698041120386,0.010362388636657706,0.3014947597665918
650000.0,0.025,0.0,8,4.0206861599121484e-05,2.4021351818005487e-05,901008,37148,3166,13.11,0.7763924749656274,1.6681803756328704,0.006432783363037549,0.008285478762944403,0.010731042966916857,0.3142203338781959
650000.0,0.025,0.0,9,4.0206861599121484e-05,2.4021351818005487e-05,901009,37148,3157,15.86,0.7631591478121961,1.672918193827666,0.006266743585747148,0.008211581560297715,0.01048374936064923,0.3094872527003898
650000.0,0.025,0.0,10,4.0206861599121484e-05,2.4021351818005487e-05,901010,37148,3164,9.99,0.7738352227290487,1.6924771047001612,0.0060742276353072085,0.007849510408540868,0.01028049120149445,0.322807744739667
650000.0,0.025,0.0,11,4.0206861599121484e-05,2.4021351818005487e-05,901011,37148,3068,7.68,0.7493478354890926,1.6789411674101553,0.0065515278354277146,0.008742972922783705,0.010999629792333135,0.3047720220151474
650000.0,0.025,0.0,12,4.0206861599121484e-05,2.4021351818005487e-05,901012,37148,3123,11.23,0.7919484399204667,1.6327735748443661,0.006389997129842756,0.00806870347580265,0.010433418456938596,0.3070966785564968
650000.0,0.025,0.0,13,4.0206861599121484e-05,2.4021351818005487e-05,901013,37148,3116,15.08,0.773928311388009,1.6587235633825563,0.0064134450116292464,0.008286872204128303,0.010638132363247744,0.309074341538384
650000.0,0.025,0.0,14,4.0206861599121484e-05,2.4021351818005487e-05,901014,37148,3193,7.05,0.750323415011227,1.7203715443887697,0.006224211419711834,0.008295371429423807,0.010707956212731864,0.32201894737523706
650000.0,0.025,0.0,15,4.0206861599121484e-05,2.4021351818005487e-05,901015,37148,3082,9.77,0.7354297702822762,1.7539122260703321,0.006268398030932502,0.008523448851583116,0.010994219944327711,0.32728984150679874
650000.0,0.025,0.0,16,4.0206861599121484e-05,2.4021351818005487e-05,901016,37148,3171,12.31,0.7966280360651279,1.6168813003078757,0.006453306098464651,0.0081007770330808,0.01043422995577027,0.30257991278518614
650000.0,0.025,0.0,17,4.0206861599121484e-05,2.4021351818005487e-05,901017,37148,3110,8.83,0.7637884610756933,1.672653615415851,0.006431431394006892,0.008420435397713505,0.010757556973484633,0.30970076066864105
650000.0,0.025,0.0,18,4.0206861599121484e-05,2.4021351818005487e-05,901018,37148,3112,13.21,0.7578361277323922,1.7099056975383446,0.0064853983932511615,0.008557784666002743,0.011089419663426187,0.32173262822456106
